Account,TaxStatus,Identifier,Sleeve,Action,Shares_Delta,Price,AverageCost,Delta_$,CapGain_$
Fidelity Brokerage,Taxable,SPAXX,Cash,BUY,4697.21,1.0,1.0,4697.21,0.0
Fidelity Brokerage,Taxable,MARUY,US_Core,SELL,-1358.2,256.43,61.25,-348284.43,265093.48
Fidelity HSA,HSA,FDRXX,Cash,BUY,795.69,1.0,1.0,795.69,0.0
Fidelity HSA,HSA,IWO,US_Core,SELL,-166.0,325.46,319.59,-54026.36,974.42
Schwab Brokerage,Taxable,VWO,EM,SELL,-3998.8,54.79,42.4,-219091.56,49545.13
Schwab Brokerage,Taxable,AGG,IG_Core,SELL,-1543.9,100.18,100.3,-154667.91,-185.27
Schwab Brokerage,Taxable,91282CCF6,Treasuries,SELL,-6223.5,98.05,95.01,-610218.48,18919.44
Schwab Brokerage,Taxable,IJR,US_Core,SELL,-1074.3,120.08,103.47,-128998.09,17844.12
Schwab Brokerage,Taxable,AMZN,US_Growth,BUY,926.3,219.51,90.53,203330.75,0.0
Vanguard Brokerage,Taxable,VDE,Energy,SELL,-500.0,125.57,85.45,-62785.0,20060.0
Vanguard Brokerage,Taxable,BNDX,IG_Intl_Hedged,BUY,2032.1,49.41,48.99,100405.25,0.0
Vanguard Brokerage,Taxable,VXUS,Intl_DM,SELL,-2669.5,74.66,52.3,-199302.17,59690.02
Vanguard Brokerage,Taxable,VONG,US_Core,SELL,-134.0,120.92,78.4,-16203.28,5697.68
Vanguard Brokerage,Taxable,AMZN,US_Growth,BUY,308.8,219.51,90.0,67775.94,0.0
Vanguard Brokerage,Taxable,VBR,US_SmallValue,SELL,-335.0,211.15,149.25,-70738.46,20736.5
Vanguard Brokerage,Taxable,VOOV,US_Value,SELL,-68.5,200.69,145.31,-13742.43,3793.53
Vanguard Roth IRA,ROTH IRA,VWO,EM,SELL,-4231.7,54.79,0.0,-231853.42,231854.84
Vanguard Roth IRA,ROTH IRA,VWOB,EM_USD,SELL,-3224.8,66.9,0.0,-215736.18,215739.12
Vanguard Roth IRA,ROTH IRA,VPL,Intl_DM,SELL,-1965.8,89.69,0.0,-176309.82,176312.6
Vanguard Roth IRA,ROTH IRA,VYMI,US_Core,SELL,-5205.5,85.39,0.0,-444498.8,444497.65
WING Trust,Trust,TSM,EM,SELL,-2219.5,292.19,72.77,-648513.03,487002.69
WING Trust,Trust,XLE,Energy,SELL,-3411.7,88.91,83.91,-303337.58,17058.5
WING Trust,Trust,FNDF,Intl_DM,SELL,-7384.4,43.73,29.5,-322921.45,105080.01
WING Trust,Trust,SCHV,US_Core,SELL,-44170.6,29.26,22.62,-1292432.16,293292.78
WING Trust,Trust,IVW,US_Growth,BUY,959.0,121.06,66.28,116095.79,0.0
WING Trust,Trust,SCHA,US_SmallValue,SELL,-4886.3,28.26,22.66,-138087.62,27363.28
WING Trust,Trust,VTV,US_Value,BUY,1075.1,187.53,146.31,201618.82,0.0
